city,lng,lat,count
周口,114.70348251482332,33.6318288757022,35
宝鸡,107.2445753670404,34.36891564286998,35
沧州,116.84558075595014,38.310215141107044,34
无锡,120.31858328810601,31.498809732685714,34
安阳,114.39950042177432,36.10594098401491,34
新乡,113.93360046733228,35.3096399303368,33
荣成,122.49250463073764,37.171317939253235,33
滨州,117.9774040171467,37.3881961960769,32
鹤壁,114.30359364247649,35.7523574114,32
汉中,107.02943020926463,33.073799907833795,32
丹东,124.36154728159079,40.00640870559368,31
洛阳,112.4594212983115,34.62426277921943,30
深圳,114.06455183658751,22.548456637984177,30
常州,119.98148471327892,31.815795653327836,30
承德,117.96939750996681,40.95785601233803,30
徐州,117.29057543439453,34.21266655011306,30
延吉,129.52052013726063,42.91271700987995,29
阿克苏,80.26992675733364,41.17385992695259,29
吉林,126.55563450495482,43.84356783457924,28
桂林,110.20354537457943,25.242885724872647,28
遵义,106.93342774801829,27.731700878916666,27
宁波,121.62857249434141,29.866033045866054,27
广元,105.85042318166482,32.44161630531542,27
伊宁,81.28424240527833,43.915299436243146,27
大同,124.81937675979314,46.04558395131147,26
牡丹江,129.6395397783469,44.55624570898632,26
南通,120.90159173866185,31.98654943120089,25
扬州,119.41941890822997,32.40067693609037,25
玉林,110.1884531233724,22.659830509953142,25
海拉尔,119.74246537005571,49.21821579936311,24
海口,110.32552547126409,20.04404943925674,24
岳阳,113.13548942422142,29.3631782939259,23
安康,109.03560108265746,32.69051277057377,23
武威,102.64455434036918,37.93437780815811,23
许昌,113.85847553685502,34.04143161161871,23
蓟县,117.44115922145824,40.00961366062446,23
佳木斯,130.327359092573,46.80568999085779,23
运城,111.01338945447925,35.03270691290923,22
郴州,113.02146049909462,25.776683273601865,22
温州,120.70647689035565,28.00108540447221,21
绍兴,120.58547847885335,30.0363693113069,21
滕州,117.17256521920983,35.120034809573916,21
万州,108.41555837050288,30.813621636707666,21
苏州,120.59241222959322,31.303564074441766,21
廊坊,116.69058173342549,39.54336666275853,21
衢州,118.86659674035565,28.975545802265025,21
吉安,115.00051072001253,27.119726826070448,21
武昌,114.35362228468497,30.56486029278519,20
青州,118.48653672086745,36.690416508705376,20
定州,114.99649620776492,38.522198840134,20
余姚,121.16058507482123,30.042734639570824,20
衡阳,112.57844721325992,26.899576139189122,19
襄阳,112.25009284837394,32.22916859153757,19
库尔勒,86.18149430993829,41.7323732214122,19
大庆,125.10865763402039,46.59363317672175,19
达州,107.47459385897544,31.214307723927455,19
曲靖,103.80243482794681,25.496406931543667,19
临汾,111.52553022403073,36.093741895419726,19
盘锦,122.07322781023007,41.14124802295616,19
蚌埠,117.39551332813694,32.921523704350825,19
恩施,109.4865502690053,30.30103714374126,18
泰州,119.9295663378548,32.4606750493083,18
淮安,119.14746320322271,33.508999838207515,18
文登,122.06442836877653,37.20011332831649,18
漯河,114.02342077764726,33.5877107071022,18
锦州,121.13259630055518,41.10093149946208,18
金华,119.65343619052916,29.084639385513697,17
义乌,120.08158099305928,29.31114987541007,17
铜仁,109.16855802826001,27.674902690624183,17
宜宾,104.6494037048691,28.75800702855183,17
潢川,115.05847075405106,32.137530716413536,17
长治,113.12255886984902,36.2012683721548,17
怀化,110.00851426537254,27.575160902978517,17
咸阳,108.71542245143303,34.335476293368586,16
葫芦岛,120.8433983399283,40.71736443636189,16
湖州,120.09451660915789,30.898963937294184,16
齐齐哈尔,123.92457086841536,47.3599771860153,16
大理,100.23651930044413,25.59760490545194,16
